,Наименование,id,Скидка,Цена,Цена со скидкой,Бренд,id бренда,feedbacks,rating,Ссылка
1410,Смартфон Galaxy S21 FE 256,101120768,0,78000,78000,Samsung,5772,0,0,https://www.wildberries.ru/catalog/101120768/detail.aspx?targetUrl=BP
1411,Galaxy Z Flip4 5G 256GB,121115933,20,81990,65592,Samsung,5772,0,0,https://www.wildberries.ru/catalog/121115933/detail.aspx?targetUrl=BP
1412,Galaxy Z Flip4 5G 256GB,122033843,20,81990,65592,Samsung,5772,1,5,https://www.wildberries.ru/catalog/122033843/detail.aspx?targetUrl=BP
1413,Смартфон Galaxy Z Flip4 5G 256GB,99531254,20,81990,65592,Samsung,5772,0,0,https://www.wildberries.ru/catalog/99531254/detail.aspx?targetUrl=BP
1414,Galaxy Z Flip4 5G 256GB,99530815,20,81990,65592,Samsung,5772,1,1,https://www.wildberries.ru/catalog/99530815/detail.aspx?targetUrl=BP
1415,iPhone 13 128GB (Япония),137519891,19,79990,64791,Apple,6049,0,0,https://www.wildberries.ru/catalog/137519891/detail.aspx?targetUrl=BP
1416,iPhone 13 128GB (Япония),137518999,19,79990,64791,Apple,6049,0,0,https://www.wildberries.ru/catalog/137518999/detail.aspx?targetUrl=BP
1417,iPhone 13 128GB (Япония),137518604,19,79990,64791,Apple,6049,0,0,https://www.wildberries.ru/catalog/137518604/detail.aspx?targetUrl=BP
1418,Смартфон 12 12GB+256GB,76760297,44,114990,64394,Xiaomi,19467,4,5,https://www.wildberries.ru/catalog/76760297/detail.aspx?targetUrl=BP
1419,Смартфон Galaxy S22 5G 8GB 128GB,137508013,20,78999,63199,Samsung,5772,0,0,https://www.wildberries.ru/catalog/137508013/detail.aspx?targetUrl=BP
1420,Galaxy S21 FE 6 128 новый,101908306,40,103000,61800,Samsung,5772,0,0,https://www.wildberries.ru/catalog/101908306/detail.aspx?targetUrl=BP
1421,Смартфон iPhone 12 64GB Черный (MGJ53RU A),114672561,11,79787,71010,Apple,6049,0,0,https://www.wildberries.ru/catalog/114672561/detail.aspx?targetUrl=BP
1422,Galaxy Z Flip4 5G 128GB,106577187,20,74990,59992,Samsung,5772,0,0,https://www.wildberries.ru/catalog/106577187/detail.aspx?targetUrl=BP
1423,Galaxy Z Flip4 5G 128GB,106562011,20,74990,59992,Samsung,5772,0,0,https://www.wildberries.ru/catalog/106562011/detail.aspx?targetUrl=BP
1424,Galaxy Z Flip4 128GB,104517440,20,74990,59992,Samsung,5772,0,0,https://www.wildberries.ru/catalog/104517440/detail.aspx?targetUrl=BP
1425,Galaxy Z Flip4 128GB,124393034,20,74990,59992,Samsung,5772,0,0,https://www.wildberries.ru/catalog/124393034/detail.aspx?targetUrl=BP
1426,Galaxy Z Flip4 5G 128GB,108740257,20,74990,59992,Samsung,5772,0,0,https://www.wildberries.ru/catalog/108740257/detail.aspx?targetUrl=BP
1427,Galaxy Z Flip4 5G 128GB,105874071,20,74990,59992,Samsung,5772,0,0,https://www.wildberries.ru/catalog/105874071/detail.aspx?targetUrl=BP
1428,Смартфон Galaxy Z Flip4 128GB,99553715,20,74990,59992,Samsung,5772,0,0,https://www.wildberries.ru/catalog/99553715/detail.aspx?targetUrl=BP
1429,Смартфон Galaxy Z Flip4 5G 128GB,119437594,20,74990,59992,Samsung,5772,6,5,https://www.wildberries.ru/catalog/119437594/detail.aspx?targetUrl=BP
1430,Galaxy Z Flip4 5G 128GB,105876153,20,74990,59992,Samsung,5772,0,0,https://www.wildberries.ru/catalog/105876153/detail.aspx?targetUrl=BP
1431,Galaxy Z Flip4 5G 128GB,106051937,20,74990,59992,Samsung,5772,0,0,https://www.wildberries.ru/catalog/106051937/detail.aspx?targetUrl=BP
1432,Смартфон iPhone 12 128GB,84505937,10,77210,69489,Apple,6049,18,5,https://www.wildberries.ru/catalog/84505937/detail.aspx?targetUrl=BP
1433,"Смартфон 12 8 GB 128 GB 6.28"" 1080 x 2400 50 МП + 8 МП + 2 М…",79871767,41,99990,58994,Xiaomi,19467,0,0,https://www.wildberries.ru/catalog/79871767/detail.aspx?targetUrl=BP
1434,"Смартфон 12 8 GB 128 GB 6.28"" 1080 x 2400 50 МП + 8 МП + 2 М…",79871769,41,99990,58994,Xiaomi,19467,0,0,https://www.wildberries.ru/catalog/79871769/detail.aspx?targetUrl=BP
1435,Iphone 11 64 GB Black,91990248,35,89990,58493,Iphone ABDI,2740760,1,1,https://www.wildberries.ru/catalog/91990248/detail.aspx?targetUrl=BP
1436,iPhone 12 128GB (Global),140426386,15,67702,57546,Apple,6049,0,0,https://www.wildberries.ru/catalog/140426386/detail.aspx?targetUrl=BP
