,id,country,weight,width,height,thickness,screen_resol,screen_size,screen_type,MaxSDMemory,PhoneMemory,RAM,OperSystem,SIMType,Warranty,CPUType,CPUFreq,CPUCores,MainCameraMP,FrontCameraMP,SIMNumber,Wireless,CommunicStand,SatelliteNavig,Battery,InterfaceType,MusicWorkingTime,VideoWorkingTime,sales_count
403,120843171,Китай,182 г,7.56 см,16.4 см,0.85 см,1600 x 720,"6,5''",IPS,1 ТБ,32 ГБ,2 ГБ,Android,Nano-SIM,1 год,Unisoc; T612,1820 МГц,8,,5 Мп,2,WI-FI 2.4 GHz; Bluetooth 5.0,3G / 4G LTE / связь,"GPS, A-GPS, ГЛОНАСС, Beidou, GALILEO",5000 мАч,microUSB,,,100
404,18088248,Китай,110 г,6.5 см,12.5 см,0.94 см,800x480,3.97'',TFT LCD,64 ГБ,16 ГБ,1 ГБ,Android 10,micro SIM; nano SIM,1 год,UNISOC SC7731E,1300 МГц,4,2 Мп,,2,GSM; Wi-Fi; Bluetooth 4.2,3G; 2G,ГЛОНАСС; GPS; A-GPS,1550 мА*ч,microUSB,,,400
405,112412866,Вьетнам,195 г,7.58 см,15.7 см,0.76 см,2340x1080,"6.6""",Dynamic AMOLED 2X,,128 ГБ,8 ГБ,Android,Nano-SIM,1 год,Samsung Exynos 2200,2800 МГц,8 ядер,,10 Мп,2,BlueTooth 5.2; NFC; Wi-Fi,4G; 5G; LTE,Galileo; GPS; ГЛОНАСС,4500 mAh,USB Type-C,,,10
406,38435898,Китай,177 г,7.48 см,15.62 см,0.98 см,1560x720,6.09'',IPS,64 ГБ,16 ГБ,1 ГБ,Android 11 Go,micro SIM,1 год,UNISOC SC7731E,1300 МГц,4,5 Мп,,2 SIM,"Bluetooth 4,1",2G; 3G,GPS / AGPS,3000 мАч,Micro USB,,,100
407,139743937,Китай,,,,,2340x1080,5.4'',OLED,,512 ГБ,,iOS,Nano-SIM,1 год,,,,,,1,NFC; Bluetooth 5.0; Wi-Fi 802.11ac,"2G, 3G, 4G, 5G","Galileo; QZSS; ГЛОНАСС, GPS, BeiDou",,Lightning,,,1
408,106078805,Вьетнам,189 г,7.48 см,15.9 см,0.81 см,2400x1080,"6.5""",Super AMOLED,1 ТБ,256 ГБ,8 ГБ,Android,Nano-SIM,1 год,Samsung Exynos 1280,2400 МГц,8 ядер,,,2,NFC; Wi-Fi; Bluetooth 5.1,4G; 5G; LTE,ГЛОНАСС; GPS; Galileo,5000 mAh,USB Type-C,,,70
409,102175906,Китай,200 г,7.61 см,16.4 см,0.89 см,2400 x 1080,6.58”,IPS,,64 ГБ,4 ГБ,Android,Nano-SIM,1 год,MediaTek Dimensity 700,2200 МГц,8,,8 Мп,2,BlueTooth 5.2; WI-FI 2.4/5.0 ГГц; NFC; ИК-Порт,2G / 3G/ 4G LTE/ 5G,"GPS / A-GPS, ГЛОНАСС, Galileo, Beidou",5000 мАч,"USB Type-C; 3,5 мм",,,60
410,98601884,,,,,,720 x 11440 HD+,"5.45""",,,64,4,,,,MediaTek Helio P22,,8,,5 Мп,2,,,,5180,"USB 2.0, Type-C",,,300
411,113254235,Вьетнам,195 г,7.58 см,15.7 см,0.76 см,2340x1080,"6.6""",Dynamic AMOLED 2X,,256 ГБ,8 ГБ,,Nano-SIM,1 год,Samsung Exynos 2200,2800 МГц,8 ядер,,,2,BlueTooth 5.2; NFC; Wi-Fi,4G; 5G; LTE,Galileo; GPS; ГЛОНАСС,4500 mAh,USB Type-C,,,70
412,85451567,Вьетнам,228 г,7.79 см,16.3 см,0.89 см,3088x1440,"6.8""",Dynamic AMOLED 2X,,512 ГБ,12 ГБ,Android,Nano-SIM,1 год,Samsung Exynos 2200,2800 МГц,8 ядер,108 Мп,,2,BlueTooth 5.2; NFC; Wi-Fi,4G; 5G; LTE,Galileo; GPS; ГЛОНАСС,5000 mAh,USB Type-C,,,10
