,Наименование,Скидка,Цена,Цена со скидкой,Бренд,feedbacks,rating,Ссылка,high_rating,memory_size,op_memory,bought,screen_size
0,"9 5G 4  6.6"" 120 герц",36,21990,14073,Realme,1116,5,https://www.wildberries.ru/catalog/121028588/detail.aspx?targetUrl=BP,1,128Gb,4Gb,8600,6.6
2,Reno 7 8 ,43,27990,15954,OPPO,357,5,https://www.wildberries.ru/catalog/116872732/detail.aspx?targetUrl=BP,1,128Gb,8Gb,4100,6.4
3,Reno 7 8 ,43,27990,15954,OPPO,288,5,https://www.wildberries.ru/catalog/116872733/detail.aspx?targetUrl=BP,1,128Gb,8Gb,4100,6.4
4,SMART 6 PLUS 2 ,40,9990,5994,Infinix,1813,5,https://www.wildberries.ru/catalog/114477948/detail.aspx?targetUrl=BP,1,64Gb,2Gb,5900,6.82
5,NOTE 12 2023 8 ,35,22990,14943,Infinix,118,5,https://www.wildberries.ru/catalog/128728547/detail.aspx?targetUrl=BP,1,256Gb,8Gb,900,6.7
6,NOTE 12 PRO 8 ,32,24990,16993,Infinix,586,5,https://www.wildberries.ru/catalog/117962430/detail.aspx?targetUrl=BP,1,256Gb,8Gb,2400,6.7
7,SMART 6 2 ,30,9990,6993,Infinix,947,5,https://www.wildberries.ru/catalog/74764975/detail.aspx?targetUrl=BP,1,32Gb,2Gb,4300,6.6
8,С35 4  6.6 2408x1080 FHD  5000 mAh,40,19990,11994,Realme,1383,5,https://www.wildberries.ru/catalog/111864727/detail.aspx?targetUrl=BP,1,128Gb,4Gb,9400,6.6
9,10 4G 4  6.4 FHD  50mp NFC,20,19990,15992,Realme,153,5,https://www.wildberries.ru/catalog/123832379/detail.aspx?targetUrl=BP,1,128Gb,4Gb,1000,6.4
12,С31 3  6.5 HD  NFC 5000mA,46,12990,7014,Realme,549,5,https://www.wildberries.ru/catalog/115115739/detail.aspx?targetUrl=BP,1,32Gb,3Gb,3600,6.5
13,А17 4 ,36,10990,7033,OPPO,230,5,https://www.wildberries.ru/catalog/126920776/detail.aspx?targetUrl=BP,1,64Gb,4Gb,1700,6.56
17,С25Y 4 64b 6.5 1600x720HD  5000m,9,10990,10000,Realme,110,5,https://www.wildberries.ru/catalog/131745097/detail.aspx?targetUrl=BP,1,64Gb,4Gb,1700,6.5
18,M4 Pro  256Gb,48,39990,20794,POCO,2391,5,https://www.wildberries.ru/catalog/66070237/detail.aspx?targetUrl=BP,1,256Gb,8Gb,14900,6.43
19,С31 3  6.5 HD   NFC,46,12990,7014,Realme,549,5,https://www.wildberries.ru/catalog/115115428/detail.aspx?targetUrl=BP,1,32Gb,3Gb,2400,6.5
20,С31 4  6.5 HD  NFC 5000mA,36,13990,8953,Realme,1108,5,https://www.wildberries.ru/catalog/115119935/detail.aspx?targetUrl=BP,1,64Gb,4Gb,5400,6.5
24,SMART 6 2 ,40,8317,4990,Infinix,114,5,https://www.wildberries.ru/catalog/48793199/detail.aspx?targetUrl=BP,1,32Gb,2Gb,300,6.2
26,HOT 20i 4 ,30,9986,6990,Infinix,9,5,https://www.wildberries.ru/catalog/136419433/detail.aspx?targetUrl=BP,1,64Gb,4Gb,10,6.6
29,HOT 12 PRO 8 ,39,17990,10973,Infinix,518,5,https://www.wildberries.ru/catalog/114477953/detail.aspx?targetUrl=BP,1,128Gb,8Gb,1400,6.6
31,А96 6 ,32,21990,14953,OPPO,155,5,https://www.wildberries.ru/catalog/116872730/detail.aspx?targetUrl=BP,1,128Gb,6Gb,1600,6.59
32,С35 4  6.6 2408x1080 FHD  5000mAh,39,17990,10973,Realme,1064,5,https://www.wildberries.ru/catalog/111864107/detail.aspx?targetUrl=BP,1,64Gb,,,6.6
33,С33 4  50M HD  NFC 5000m,27,14990,10942,Realme,299,5,https://www.wildberries.ru/catalog/106466313/detail.aspx?targetUrl=BP,1,128Gb,,,
35,HOT 12 Play 4 ,38,12990,8053,Infinix,587,5,https://www.wildberries.ru/catalog/81588758/detail.aspx?targetUrl=BP,1,64Gb,,,
36,А17k 3 ,33,8990,6023,OPPO,46,5,https://www.wildberries.ru/catalog/127005147/detail.aspx?targetUrl=BP,1,64Gb,,,
37,А57s 4 ,29,13990,9932,OPPO,96,5,https://www.wildberries.ru/catalog/126066982/detail.aspx?targetUrl=BP,1,64Gb,,,
38,А96 6 ,32,21990,14953,OPPO,142,5,https://www.wildberries.ru/catalog/116872731/detail.aspx?targetUrl=BP,1,128Gb,,,
39,M4 Pro  256Gb,50,39990,19995,POCO,2391,5,https://www.wildberries.ru/catalog/78487675/detail.aspx?targetUrl=BP,1,256Gb,,,
40,А57s 4 ,31,15990,11033,OPPO,41,5,https://www.wildberries.ru/catalog/126963650/detail.aspx?targetUrl=BP,1,128Gb,,,
41,NOTE 12 6 ,32,18990,12913,Infinix,559,5,https://www.wildberries.ru/catalog/113187347/detail.aspx?targetUrl=BP,1,128Gb,,,
43,HOT 11S NFC 6 ,28,17990,12952,Infinix,479,5,https://www.wildberries.ru/catalog/110847825/detail.aspx?targetUrl=BP,1,128Gb,,,
46,NOTE 12 VIP 8 ,24,32990,25072,Infinix,288,5,https://www.wildberries.ru/catalog/121002311/detail.aspx?targetUrl=BP,1,256Gb,,,
48,С33 4  50M HD  NFC 5000mA,29,13990,9932,Realme,251,5,https://www.wildberries.ru/catalog/106443462/detail.aspx?targetUrl=BP,1,64Gb,,,
49,Galaxy A33 5G ,30,29990,20993,Samsung,44,5,https://www.wildberries.ru/catalog/84888167/detail.aspx?targetUrl=BP,1,128Gb,,,
51,HOT 11 4 ,38,15990,9913,Infinix,80,5,https://www.wildberries.ru/catalog/104209192/detail.aspx?targetUrl=BP,1,128Gb,,,
52,"С35 6.6"" 4 ",5,13674,12990,Realme,65,5,https://www.wildberries.ru/catalog/113271120/detail.aspx?targetUrl=BP,1,64Gb,,,6.6
53,Galaxy A53 5G ,37,37990,23933,Samsung,50,5,https://www.wildberries.ru/catalog/84888172/detail.aspx?targetUrl=BP,1,128Gb,,,
54,HOT 20i 4 ,42,11990,6954,Infinix,49,5,https://www.wildberries.ru/catalog/105000655/detail.aspx?targetUrl=BP,1,64Gb,,,
55,HOT 11S NFC 4 ,27,14990,10942,Infinix,479,5,https://www.wildberries.ru/catalog/45338058/detail.aspx?targetUrl=BP,1,64Gb,,,
56,HOT 20 6 ,29,16990,12062,Infinix,23,5,https://www.wildberries.ru/catalog/106476935/detail.aspx?targetUrl=BP,1,128Gb,,,
57,Galaxy A33 5G ,30,29990,20993,Samsung,25,4,https://www.wildberries.ru/catalog/85451986/detail.aspx?targetUrl=BP,1,128Gb,,,
60,Galaxy A23 ,30,19990,13993,Samsung,61,5,https://www.wildberries.ru/catalog/84888169/detail.aspx?targetUrl=BP,1,64Gb,,,
63,Redmi 9A RU 2 32 Glacial Blue,34,8990,5933,Xiaomi,13,5,https://www.wildberries.ru/catalog/120292055/detail.aspx?targetUrl=BP,1,32Gb,,,
64,Redmi 9A RU 2 32 Aurora Green,34,8990,5933,Xiaomi,13,5,https://www.wildberries.ru/catalog/120290935/detail.aspx?targetUrl=BP,1,32Gb,,,
65,"G21 6.5"" 1600x720 HD IPS 4  50 2 2 8МП Unisoc T…",33,14990,10043,Nokia,254,4,https://www.wildberries.ru/catalog/92642669/detail.aspx?targetUrl=BP,1,64Gb,,,6.5
66,9 4G 8  6.4 FHD  5000m NFC,32,30990,21073,Realme,102,5,https://www.wildberries.ru/catalog/123764976/detail.aspx?targetUrl=BP,1,128Gb,,,6.4
67,HOT 20i 4 ,36,13990,8953,Infinix,26,5,https://www.wildberries.ru/catalog/105013940/detail.aspx?targetUrl=BP,1,128Gb,,,
68,"Galaxy A22s 4  6.6"" 2408х1080 5000мАч",17,20890,17338,Samsung,6,5,https://www.wildberries.ru/catalog/136896232/detail.aspx?targetUrl=BP,1,128Gb,,,6.6
72,SMART 6 PLUS 3 ,36,10990,7033,Infinix,38,5,https://www.wildberries.ru/catalog/114477944/detail.aspx?targetUrl=BP,1,64Gb,,,
76,Redmi 9A RU 2 32 Granite Gray,34,8990,5933,Xiaomi,2,5,https://www.wildberries.ru/catalog/128845695/detail.aspx?targetUrl=BP,1,32Gb,,,
77,P50 Pocket Premium Edition ,44,129999,72799,Huawei,1,5,https://www.wildberries.ru/catalog/124151093/detail.aspx?targetUrl=BP,1,512Gb,,,
78,iPhone 13 Pro  (СНГ),13,129990,113091,Apple,8,4,https://www.wildberries.ru/catalog/118047153/detail.aspx?targetUrl=BP,1,512Gb,,,
80,Galaxy A13 4 ,0,15490,15490,Samsung,2,5,https://www.wildberries.ru/catalog/139335980/detail.aspx?targetUrl=BP,1,128Gb,,,
82,CAMON 19 CI6N 6 ,24,19697,14969,TECNO,40,5,https://www.wildberries.ru/catalog/96474538/detail.aspx?targetUrl=BP,1,128Gb,,,
83,Galaxy A32  6,20,19990,15992,Samsung,37,4,https://www.wildberries.ru/catalog/96599279/detail.aspx?targetUrl=BP,1,64Gb,4Gb,200,
85,Galaxy A03 Core ,35,9990,6493,Samsung,25,5,https://www.wildberries.ru/catalog/94454060/detail.aspx?targetUrl=BP,1,32Gb,,,
86,HOT 20S 8 ,21,18990,15002,Infinix,2,5,https://www.wildberries.ru/catalog/134044399/detail.aspx?targetUrl=BP,1,128Gb,,,
87,Redmi 10 2022  128Gb,22,18990,14812,Xiaomi,264,5,https://www.wildberries.ru/catalog/110521531/detail.aspx?targetUrl=BP,1,128Gb,4Gb,500,
88,Galaxy A03 ,28,10490,7552,Samsung,50,5,https://www.wildberries.ru/catalog/96461259/detail.aspx?targetUrl=BP,1,32Gb,,,
89,SMART 6 HD 2 ,40,7984,4790,Infinix,8,5,https://www.wildberries.ru/catalog/83998169/detail.aspx?targetUrl=BP,1,32Gb,,,
91,Blade A52 4G 64G,6,8990,8450,ZTE,8,5,https://www.wildberries.ru/catalog/133863966/detail.aspx?targetUrl=BP,1,64Gb,4Gb,10,
93,"A49 6.6"" 2  синий",5,5253,4990,ITEL,12,5,https://www.wildberries.ru/catalog/68902198/detail.aspx?targetUrl=BP,1,32Gb,,,6.6
94,HOT 12 Play 4 ,40,13317,7990,Infinix,26,5,https://www.wildberries.ru/catalog/81261232/detail.aspx?targetUrl=BP,1,64Gb,,,
98,Galaxy S22  5G ,19,89990,72891,Samsung,3,5,https://www.wildberries.ru/catalog/85451568/detail.aspx?targetUrl=BP,1,256Gb,,,
99,"Y33s 2109 6.58""  128Gb",24,17586,13365,VIVO,24,4,https://www.wildberries.ru/catalog/85586956/detail.aspx?targetUrl=BP,1,128Gb,4Gb,50,6.58
100,Galaxy A32 ,20,19990,15992,Samsung,2,5,https://www.wildberries.ru/catalog/96461706/detail.aspx?targetUrl=BP,1,64Gb,,,
101,NOTE 12 2023 (G99) 8 ,40,21650,12990,Infinix,7,4,https://www.wildberries.ru/catalog/105020949/detail.aspx?targetUrl=BP,1,128Gb,,,
103,Redmi 10 C ,69,45000,13950,Xiaomi,17,4,https://www.wildberries.ru/catalog/94206770/detail.aspx?targetUrl=BP,1,128Gb,,,
104,"A62 Lite  6,1"" 720х1560 SC7731E 2Gb  13MP V…",0,5500,5500,INOI,22,4,https://www.wildberries.ru/catalog/59641143/detail.aspx?targetUrl=BP,1,64Gb,,,6.1
105,HOT 12 PRO 8 ,40,18317,10990,Infinix,2,5,https://www.wildberries.ru/catalog/114440792/detail.aspx?targetUrl=BP,1,128Gb,,,
106,Y21 6.51  RAM 6 13Mpix 2Mpix 8Mpix NFC 5000mAh,23,10479,8068,VIVO,55,5,https://www.wildberries.ru/catalog/85585768/detail.aspx?targetUrl=BP,1,64Gb,4Gb,100,6.51
108,NOTE 12 Pro 8  Tuscany Blue,0,17190,17190,Infinix,1,5,https://www.wildberries.ru/catalog/137875995/detail.aspx?targetUrl=BP,1,256Gb,,,
109,NOTE 12 PRO 8 ,30,24272,16990,Infinix,7,3,https://www.wildberries.ru/catalog/115237028/detail.aspx?targetUrl=BP,0,256Gb,,,
110,A52 Lite,0,3999,3999,INOI,45,3,https://www.wildberries.ru/catalog/55207944/detail.aspx?targetUrl=BP,0,32Gb,1Gb,100,
111,"6868L Wide  32Gb 6,8""",31,8971,6189,BQ,8,5,https://www.wildberries.ru/catalog/113115084/detail.aspx?targetUrl=BP,1,32Gb,3Gb,20,6.8
115,POCO M4 Pro ,0,22000,22000,Xiaomi,2,5,https://www.wildberries.ru/catalog/95465091/detail.aspx?targetUrl=BP,1,256Gb,,,
119,HOT 20S 8 ,20,18738,14990,Infinix,1,5,https://www.wildberries.ru/catalog/136436270/detail.aspx?targetUrl=BP,1,128Gb,,,
120,"5765L Clever IPS 5,7""",36,7016,4490,BQ,39,4,https://www.wildberries.ru/catalog/58255508/detail.aspx?targetUrl=BP,1,16Gb,3Gb,40,5.7
121,"A62 Lite  6,1"" 720х1560 SC7731E 2Gb  13MP V…",0,4999,4999,INOI,22,4,https://www.wildberries.ru/catalog/59642983/detail.aspx?targetUrl=BP,1,64Gb,,,6.1
122,"C30 1600x720 6,5"" 4  5000 мАч, голубой",0,9290,9290,Realme,24,5,https://www.wildberries.ru/catalog/120843167/detail.aspx?targetUrl=BP,1,64Gb,,,6.5
123,"С30 6,82"" НD  3  13 2 5МП 6000 mAh UNISOC SC986…",23,12990,10002,Nokia,172,4,https://www.wildberries.ru/catalog/36630008/detail.aspx?targetUrl=BP,1,64Gb,,,6.82
124,"Blade A51 6,52'' 1600x720 IPS 2  13 2MП 3200 mA…",14,8990,7731,ZTE,154,4,https://www.wildberries.ru/catalog/35254047/detail.aspx?targetUrl=BP,1,32Gb,,,6.52
126,"C20 2  6,52"" 720x1600 IPS LCD 2Gb  3000 mAh",13,8990,7821,Nokia,176,4,https://www.wildberries.ru/catalog/27207882/detail.aspx?targetUrl=BP,1,16Gb,,,6.52
129,Y15s  32Gb,20,11044,8835,VIVO,8,5,https://www.wildberries.ru/catalog/85585516/detail.aspx?targetUrl=BP,1,32Gb,3Gb,40,6.61
131,A22 Lite,0,4490,4490,INOI,18,3,https://www.wildberries.ru/catalog/55195269/detail.aspx?targetUrl=BP,0,32Gb,,,
132,"A22 Lite 5"" IPS SC7731E 1.4 ГГц 1  microSD до 1…",0,4490,4490,INOI,10,4,https://www.wildberries.ru/catalog/55204025/detail.aspx?targetUrl=BP,1,16Gb,,,
133,"S42H  5,5"" 1440х720 IPS 3  13МП 4200 mАh NFC Me…",5,26990,25640,Caterpillar,3,4,https://www.wildberries.ru/catalog/44517834/detail.aspx?targetUrl=BP,1,32Gb,,,
134,Y35  чёрный агат,0,15736,15736,VIVO,1,5,https://www.wildberries.ru/catalog/137252769/detail.aspx?targetUrl=BP,1,64Gb,,,
137,NOTE 11 6 ,20,19865,15892,Infinix,33,5,https://www.wildberries.ru/catalog/66521741/detail.aspx?targetUrl=BP,1,128Gb,,,
138,Galaxy A03 Core  черный,0,11980,11980,Samsung,3,5,https://www.wildberries.ru/catalog/95012231/detail.aspx?targetUrl=BP,1,32Gb,,,
139,M4 Pro 4G  128Gb,0,19690,19690,POCO,11,5,https://www.wildberries.ru/catalog/82676513/detail.aspx?targetUrl=BP,1,6Gb,,,
140,HOT 11S NFC 6 ,30,18558,12990,Infinix,26,4,https://www.wildberries.ru/catalog/110851970/detail.aspx?targetUrl=BP,1,128Gb,,,
141,"Wildfire E3 6,7"" IPS  128Gb",0,10490,10490,HTC,2,1,https://www.wildberries.ru/catalog/29621571/detail.aspx?targetUrl=BP,0,128Gb,4Gb,10,6.7
142,Смартфон,10,6590,5931,HTC,21,4,https://www.wildberries.ru/catalog/29402808/detail.aspx?targetUrl=BP,1,16Gb,2Gb,100,5.45
143,Galaxy S22  8 ,20,95669,76535,Samsung,1,5,https://www.wildberries.ru/catalog/97714341/detail.aspx?targetUrl=BP,1,256Gb,,,
144,Galaxy S22 5G ,32,76639,52114,Samsung,15,4,https://www.wildberries.ru/catalog/90802284/detail.aspx?targetUrl=BP,1,128Gb,,,
145,12 Lite  12 Pink,5,43202,41041,Xiaomi,2,5,https://www.wildberries.ru/catalog/112017404/detail.aspx?targetUrl=BP,1,128Gb,8Gb,10,6.55
147,Note 10 Pro 8  (NFC) Голубой RU,11,32785,29178,Redmi,4,3,https://www.wildberries.ru/catalog/32777774/detail.aspx?targetUrl=BP,0,128Gb,,,
148,"Redmi Note 10S Синий Океан, 6 , 64Мп, 5000мАч",20,29835,23868,Xiaomi,19,4,https://www.wildberries.ru/catalog/34596337/detail.aspx?targetUrl=BP,1,128Gb,,,
155,Redmi Note 11 NFC  128Gb,46,29389,15870,Xiaomi,20,5,https://www.wildberries.ru/catalog/134290323/detail.aspx?targetUrl=BP,1,128Gb,4Gb,0,6.43
164,A16 3  Blue,50,18362,9181,OPPO,3,5,https://www.wildberries.ru/catalog/90803750/detail.aspx?targetUrl=BP,1,32Gb,,,
165,1SE 5030D  серый (5030d-2aalru2),0,9990,9990,Alcatel,1,3,https://www.wildberries.ru/catalog/34019104/detail.aspx?targetUrl=BP,0,32Gb,,,
166,Vision 3 3 ,0,9527,9527,ITEL,8,1,https://www.wildberries.ru/catalog/99360058/detail.aspx?targetUrl=BP,0,64Gb,,,
167,Ссмартфон Cool10A  64Gb,0,8490,8490,Coolpad,6,3,https://www.wildberries.ru/catalog/111245826/detail.aspx?targetUrl=BP,0,64Gb,3Gb,5,6.517
173,A17 DS 5 854х480 16  5 2МП 2400мАч Unisoc SC7731…,0,4990,4990,ITEL,12,4,https://www.wildberries.ru/catalog/84026311/detail.aspx?targetUrl=BP,1,16Gb,1Gb,100,5
174,Highscreen Alpha R,0,4040,4040,Highscreen,1,1,https://www.wildberries.ru/catalog/122250772/detail.aspx?targetUrl=BP,0,32Gb,1Gb,0,5
176,Redmi 9A  3,34,8990,5933,Xiaomi,7890,5,https://www.wildberries.ru/catalog/13615125/detail.aspx?targetUrl=BP,1,32Gb,2Gb,84500,6.53
177,M5s  128Gb,11,17990,16011,POCO,264,5,https://www.wildberries.ru/catalog/120907792/detail.aspx?targetUrl=BP,1,128Gb,4Gb,2600,6.43
178,M5s  128Gb,17,17990,14931,POCO,264,5,https://www.wildberries.ru/catalog/121088620/detail.aspx?targetUrl=BP,1,128Gb,4Gb,1700,6.43
179,Hot 11 Polar black,38,15990,9913,Infinix,579,5,https://www.wildberries.ru/catalog/105825919/detail.aspx?targetUrl=BP,1,124Gb,4Gb,7400,6.82
180,HOT 11 Exploratory blue,38,15990,9913,Infinix,374,5,https://www.wildberries.ru/catalog/105825180/detail.aspx?targetUrl=BP,1,128Gb,4Gb,4700,6.82
182,9A 2  Серый RU,11,7687,6841,Redmi,5,3,https://www.wildberries.ru/catalog/33436829/detail.aspx?targetUrl=BP,0,32Gb,,,
183,X4 Pro 5G  256Gb,45,50990,28044,POCO,1266,5,https://www.wildberries.ru/catalog/67866095/detail.aspx?targetUrl=BP,1,256Gb,8Gb,,
184,C40  32Gb,42,11990,6954,POCO,780,5,https://www.wildberries.ru/catalog/114714657/detail.aspx?targetUrl=BP,1,32Gb,3Gb,,
187,NOVA Y70 ,30,17986,12590,Huawei,100,5,https://www.wildberries.ru/catalog/110714009/detail.aspx?targetUrl=BP,1,128Gb,,,
188,Galaxy A13 ,20,14990,11992,Samsung,27,5,https://www.wildberries.ru/catalog/106474239/detail.aspx?targetUrl=BP,1,64Gb,,,
190,"8i 4 64гб LCD 6.6"" 2412x1080 Helio G96 5000 mAh NFC",28,17990,12952,Realme,271,5,https://www.wildberries.ru/catalog/46594329/detail.aspx?targetUrl=BP,1,64Gb,4Gb,,6.6
191,SMART 6 PLUS 2 ,46,9990,5394,Infinix,1813,5,https://www.wildberries.ru/catalog/114477947/detail.aspx?targetUrl=BP,1,64Gb,,,
192,M4 Pro  128Gb,46,34990,18894,POCO,1572,5,https://www.wildberries.ru/catalog/66069790/detail.aspx?targetUrl=BP,1,128Gb,6Gb,,
194,"A17 голубой 854х480 5"" 1  5 Мп 2 Мп",5,3464,3290,ITEL,151,4,https://www.wildberries.ru/catalog/38764020/detail.aspx?targetUrl=BP,1,16Gb,,,5
195,Galaxy A13  6,20,14990,11992,Samsung,18,5,https://www.wildberries.ru/catalog/106171202/detail.aspx?targetUrl=BP,1,64Gb,4Gb,700,6.6
196,"5046L Choice 5""",38,5468,3390,BQ,5,4,https://www.wildberries.ru/catalog/15943619/detail.aspx?targetUrl=BP,1,16Gb,2Gb,100,5
197,"6061L Slim IPS 6""",32,6309,4290,BQ,22,5,https://www.wildberries.ru/catalog/63781155/detail.aspx?targetUrl=BP,1,16Gb,2Gb,50,6.09
199,"Camon 19 Neo 6.81"" 6 Gb 48 32 МП",5,13674,12990,TECNO,22,5,https://www.wildberries.ru/catalog/117932052/detail.aspx?targetUrl=BP,1,128Gb,6Gb,30,6.81
201,6051G Soul  3 IPS,33,5955,3989,BQ,19,4,https://www.wildberries.ru/catalog/43763932/detail.aspx?targetUrl=BP,1,32Gb,2Gb,50,6.09
202,"6022G Aura  16Gb 6""",46,7574,4089,BQ,50,4,https://www.wildberries.ru/catalog/15943630/detail.aspx?targetUrl=BP,1,16Gb,2Gb,80,6.09
203,"A17 854х480 5"" 1  5 Мп 2 Мп 2400 мАч",5,3464,3290,ITEL,60,5,https://www.wildberries.ru/catalog/38764014/detail.aspx?targetUrl=BP,1,16Gb,,,
204,Y16  6,9,10999,10009,VIVO,160,5,https://www.wildberries.ru/catalog/122872783/detail.aspx?targetUrl=BP,1,64Gb,4Gb,1600,6.51
207,"Телефон, 4,9"", 4-ядерный процессор",59,7980,3271,Poco Case,14,2,https://www.wildberries.ru/catalog/69220036/detail.aspx?targetUrl=BP,0,1Gb,0.5G,10,4.9
208,"A25 голубой 5"" 1280x720 1  5 Мп 2 Мп 3020 мАч",5,3674,3490,ITEL,6,4,https://www.wildberries.ru/catalog/110288705/detail.aspx?targetUrl=BP,1,16Gb,1Gb,70,5
210,M5  6,20,14990,11992,POCO,294,5,https://www.wildberries.ru/catalog/102706637/detail.aspx?targetUrl=BP,1,64Gb,4Gb,3300,6.58
211,Y16  6,21,10999,8689,VIVO,160,5,https://www.wildberries.ru/catalog/122872785/detail.aspx?targetUrl=BP,1,64Gb,4Gb,1800,6.51
212,Redmi 10 2022  128Gb Gray,20,18990,15192,Xiaomi,111,5,https://www.wildberries.ru/catalog/86264791/detail.aspx?targetUrl=BP,1,128Gb,4Gb,1100,6.5
213,Redmi A1   3,38,7990,4953,Xiaomi,174,5,https://www.wildberries.ru/catalog/103742308/detail.aspx?targetUrl=BP,1,32Gb,2Gb,3000,6.52
214,V25e  12,25,27999,20999,VIVO,593,5,https://www.wildberries.ru/catalog/121026731/detail.aspx?targetUrl=BP,1,128Gb,8Gb,2900,6.44
215,iPhone 11  (США),20,54990,43992,Apple,39,5,https://www.wildberries.ru/catalog/124828884/detail.aspx?targetUrl=BP,1,128Gb,,,
216,C40  6,35,12990,8443,POCO,418,5,https://www.wildberries.ru/catalog/114316934/detail.aspx?targetUrl=BP,1,64Gb,4Gb,5400,6.71
217,Camon 19Pro 6.8 1080x2460 128 ,18,21990,18031,TECNO,602,5,https://www.wildberries.ru/catalog/92267714/detail.aspx?targetUrl=BP,1,128Gb,8Gb,2000,6.8
218,iPhone 14  (СНГ),19,99990,80991,Apple,39,5,https://www.wildberries.ru/catalog/103948519/detail.aspx?targetUrl=BP,1,256Gb,,,
220,Camon 19Pro 6.8 1080x2460 128 ,10,19990,17991,TECNO,602,5,https://www.wildberries.ru/catalog/92267713/detail.aspx?targetUrl=BP,1,128Gb,8Gb,2000,6.8
221,nova Y70  48МП 6000 мА*ч,43,18990,10824,Huawei,201,5,https://www.wildberries.ru/catalog/118062406/detail.aspx?targetUrl=BP,1,128Gb,,,
222,V25 5G  256Gb,21,37999,30019,VIVO,191,5,https://www.wildberries.ru/catalog/101597330/detail.aspx?targetUrl=BP,1,256Gb,8Gb,1000,6.44
223,Galaxy A23 ,29,23990,17032,Samsung,144,5,https://www.wildberries.ru/catalog/84888190/detail.aspx?targetUrl=BP,1,128Gb,,,
224,Spark 8C 6.6 720x1612 4 ,31,11990,8273,TECNO,2785,5,https://www.wildberries.ru/catalog/61914203/detail.aspx?targetUrl=BP,1,64Gb,,,
225,"8 Punk Black 6.4"" 2400x1080 6  64 8 2 2 Мп 16…",0,16990,16990,Realme,70,5,https://www.wildberries.ru/catalog/73227319/detail.aspx?targetUrl=BP,1,128Gb,,,
226,"8i LCD 6.6"" 2412x1080 4  NFC 5000 mAh",24,20990,15952,Realme,158,5,https://www.wildberries.ru/catalog/43502518/detail.aspx?targetUrl=BP,1,128Gb,,,
228,5 Pro 12  Black (Черный) Global Version,11,67165,59776,Black Shark,5,4,https://www.wildberries.ru/catalog/116792025/detail.aspx?targetUrl=BP,1,256Gb,,,
231,F4  256Gb,8,37990,34950,POCO,196,5,https://www.wildberries.ru/catalog/110520088/detail.aspx?targetUrl=BP,1,256Gb,8Gb,900,6.67
232,SPARK 9 pro KH7n 4 ,12,12890,11343,TECNO,118,5,https://www.wildberries.ru/catalog/97087643/detail.aspx?targetUrl=BP,1,128Gb,,,
233,Redmi 10 2022  128Gb Blue,20,18990,15192,Xiaomi,128,5,https://www.wildberries.ru/catalog/86264788/detail.aspx?targetUrl=BP,1,128Gb,4Gb,,
235,C40  32Gb,42,11990,6954,POCO,198,5,https://www.wildberries.ru/catalog/114176669/detail.aspx?targetUrl=BP,1,32Gb,3Gb,,
238,POVA Neo 2 6.82 1640*720 4 ,0,11990,11990,TECNO,267,5,https://www.wildberries.ru/catalog/105238551/detail.aspx?targetUrl=BP,1,64Gb,,,
239,"Redmi 10C  128Gb 6.71"" 1650x720 50 МП 2 МП 5Mp…",35,19990,12993,Xiaomi,363,5,https://www.wildberries.ru/catalog/75664919/detail.aspx?targetUrl=BP,1,126Gb,4Gb,,6.71
240,12 Lite 8 ,11,38836,34564,MI,3,5,https://www.wildberries.ru/catalog/116076947/detail.aspx?targetUrl=BP,1,128Gb,,,
242,5 8 ,11,46550,41429,Black Shark,1,5,https://www.wildberries.ru/catalog/124815083/detail.aspx?targetUrl=BP,1,128Gb,,,
243,Galaxy A53 5G ,37,37990,23933,Samsung,80,5,https://www.wildberries.ru/catalog/84888181/detail.aspx?targetUrl=BP,1,128Gb,,,
244,(A525F) Galaxy A52 4 ,11,32957,29331,Samsung,3,4,https://www.wildberries.ru/catalog/64967284/detail.aspx?targetUrl=BP,1,128Gb,,,
245,9A 2  RU,11,7687,6841,Redmi,1,5,https://www.wildberries.ru/catalog/133009867/detail.aspx?targetUrl=BP,1,32Gb,,,
247,Y35  6,44,17990,10074,VIVO,406,5,https://www.wildberries.ru/catalog/118174486/detail.aspx?targetUrl=BP,1,64Gb,4Gb,1900,6.58
248,10C NFC 3  RU,11,13034,11600,Redmi,2,5,https://www.wildberries.ru/catalog/123504559/detail.aspx?targetUrl=BP,1,64Gb,,,
249,(A525F) Galaxy A52 8  Голубой,11,39235,34919,Samsung,2,3,https://www.wildberries.ru/catalog/64969637/detail.aspx?targetUrl=BP,0,256Gb,,,
251,"Redmi 10A 2G 32G 6.53"" 720х1600 13МП 5МП 5000 mAh",19,10490,8496,Xiaomi,106,5,https://www.wildberries.ru/catalog/116110648/detail.aspx?targetUrl=BP,1,32Gb,2Gb,,6.53
253,Note 11 Pro 5G 8 ,11,33117,29474,Redmi,2,5,https://www.wildberries.ru/catalog/77495425/detail.aspx?targetUrl=BP,1,128Gb,,,
254,Galaxy A13 ,18,16990,13931,Samsung,187,5,https://www.wildberries.ru/catalog/84888183/detail.aspx?targetUrl=BP,1,128Gb,,,
255,Note 11 Pro 5G 8 ,11,35112,31249,Redmi,2,5,https://www.wildberries.ru/catalog/77495426/detail.aspx?targetUrl=BP,1,128Gb,,,
