,Наименование,Скидка,Цена,Цена со скидкой,Бренд,feedbacks,rating,Ссылка,high_rating,memory_size,op_memory,bought,screen_size
2169,Reno 7 4G 8  СРH2363,0,16990,16990,OPPO,7,5,https://www.wildberries.ru/catalog/122926121/detail.aspx?targetUrl=BP,1,128Gb,,,
2173,Смартфоны A49 Sky Cyan ,23,6490,4997,ITEL,2,3,https://www.wildberries.ru/catalog/90434649/detail.aspx?targetUrl=BP,0,128Gb,,,
2174,"64 ""Как новый""",0,39990,39990,Apple,5,5,https://www.wildberries.ru/catalog/104038233/detail.aspx?targetUrl=BP,1,64Gb,,,
2175,Spark 9 Pro 4 ,0,11990,11990,TECNO,7,5,https://www.wildberries.ru/catalog/100208240/detail.aspx?targetUrl=BP,1,128Gb,,,
2177,"Galaxy S21 FE 6 , белый",20,59990,47992,Samsung,2,5,https://www.wildberries.ru/catalog/104529391/detail.aspx?targetUrl=BP,1,128Gb,,,
2178,Galaxy A33 5G ,13,29990,26091,Samsung,3,3,https://www.wildberries.ru/catalog/97329688/detail.aspx?targetUrl=BP,0,128Gb,,,
2179,M5 L19C 4 64 6.58 FHD  MTK G99,16,14990,12591,POCO,3,5,https://www.wildberries.ru/catalog/106196914/detail.aspx?targetUrl=BP,1,64Gb,,,6.58
2180,Redmi 9C 3  NFC,28,14990,10792,Xiaomi,8,5,https://www.wildberries.ru/catalog/127844775/detail.aspx?targetUrl=BP,1,64Gb,,,
2182,Хонор 8X сенсорный мобильный телефон,10,12212,10990,Honor,1,3,https://www.wildberries.ru/catalog/140484546/detail.aspx?targetUrl=BP,0,128Gb,6Gb,5,6.5
2184,"10 4 128 6.4"" Черный",12,24999,21999,Realme,1,1,https://www.wildberries.ru/catalog/134487483/detail.aspx?targetUrl=BP,0,128Gb,,,6.4
2185,Redmi Note 7 Pro сенсорный мобильный телефон,13,14150,12310,Xiaomi,1,5,https://www.wildberries.ru/catalog/140460313/detail.aspx?targetUrl=BP,1,128Gb,6Gb,5,6.3
2187,Reno 7 4G 8  СРH2363,0,17190,17190,OPPO,7,5,https://www.wildberries.ru/catalog/122926122/detail.aspx?targetUrl=BP,1,128Gb,,,
2189,Note 10 Pro 6 ,0,24600,24600,Redmi,6,5,https://www.wildberries.ru/catalog/127712196/detail.aspx?targetUrl=BP,1,128Gb,,,
